Angle (Degrees),Cosine Similarity,False Negative Rate,False Positive Rate
9.299999999999988,0.986856,0.917121,0.0
9.349999999999987,0.986714,0.912171,0.0
9.399999999999988,0.986572,0.906923,0.0
9.449999999999989,0.986429,0.900726,0.0
9.499999999999988,0.986286,0.896073,0.0
9.549999999999986,0.986141,0.89132,0.0
9.599999999999987,0.985996,0.885578,0.0
9.649999999999988,0.98585,0.878431,0.0
9.699999999999987,0.985703,0.874016,0.0
9.749999999999986,0.985556,0.868908,0.0
9.799999999999986,0.985408,0.862275,0.0
9.849999999999987,0.985259,0.856928,0.0
9.899999999999986,0.985109,0.851127,0.0
9.949999999999985,0.984959,0.84489,0.0
9.999999999999986,0.984808,0.838535,0.0
10.049999999999986,0.984656,0.832833,0.0
10.099999999999985,0.984503,0.826438,0.0
10.149999999999984,0.98435,0.819688,0.0
10.199999999999985,0.984196,0.8126,0.0
10.249999999999986,0.984041,0.804778,0.0
10.299999999999985,0.983885,0.798342,0.0
10.349999999999984,0.983729,0.78981,0.0
10.399999999999984,0.983571,0.781691,0.0
10.449999999999985,0.983414,0.773275,0.0
10.499999999999984,0.983255,0.766938,0.0
10.549999999999983,0.983096,0.758225,0.0
10.599999999999984,0.982935,0.750206,0.0
10.649999999999984,0.982774,0.742028,0.0
10.699999999999983,0.982613,0.732821,0.0
10.749999999999982,0.98245,0.725197,0.0
10.799999999999983,0.982287,0.71801,0.0
10.849999999999984,0.982123,0.710881,0.0
10.899999999999983,0.981959,0.703554,0.0
10.949999999999982,0.981793,0.69508,0.0
10.999999999999982,0.981627,0.6872,0.0
11.049999999999983,0.98146,0.678586,0.0
11.099999999999982,0.981293,0.670071,0.0
11.14999999999998,0.981124,0.660597,0.0
11.199999999999982,0.980955,0.649648,0.0
11.249999999999982,0.980785,0.64143,0.0
11.299999999999981,0.980615,0.632519,0.0
11.34999999999998,0.980443,0.623707,0.0
11.39999999999998,0.980271,0.614202,0.0
11.449999999999982,0.980098,0.605292,0.0
11.49999999999998,0.979925,0.594738,0.0
11.54999999999998,0.97975,0.585134,0.0
11.59999999999998,0.979575,0.574936,0.0
11.64999999999998,0.979399,0.566619,0.0
11.69999999999998,0.979223,0.557015,0.0
11.749999999999979,0.979045,0.547411,0.0
11.79999999999998,0.978867,0.539423,0.0
11.84999999999998,0.978689,0.528334,0.0
11.899999999999979,0.978509,0.516849,0.0
11.949999999999978,0.978329,0.50688,0.0
11.999999999999979,0.978148,0.498167,0.0
12.04999999999998,0.977966,0.489355,0.0
12.099999999999978,0.977783,0.480939,0.0
12.149999999999977,0.9776,0.472425,0.0
12.199999999999978,0.977416,0.462425,0.0
12.249999999999979,0.977231,0.453118,0.0
12.299999999999978,0.977046,0.443613,0.0
12.349999999999977,0.976859,0.434999,0.0
12.399999999999977,0.976672,0.426385,0.0
12.449999999999978,0.976485,0.41701,0.0
12.499999999999977,0.976296,0.408892,0.0
12.549999999999976,0.976107,0.399814,0.0
12.599999999999977,0.975917,0.391398,0.0
12.649999999999977,0.975726,0.383477,0.0
12.699999999999976,0.975535,0.376646,0.0
12.749999999999975,0.975342,0.367537,0.0
12.799999999999976,0.975149,0.360835,0.0
12.849999999999977,0.974956,0.35242,0.0
12.899999999999975,0.974761,0.344103,0.0
12.949999999999974,0.974566,0.335291,0.0
12.999999999999975,0.97437,0.32787,0.0
13.049999999999976,0.974173,0.320444,0.0
13.099999999999975,0.973976,0.311533,0.0
13.149999999999974,0.973778,0.305493,0.0
13.199999999999974,0.973579,0.297275,0.0
13.249999999999975,0.973379,0.290543,0.0
13.299999999999974,0.973179,0.284305,0.0
13.349999999999973,0.972978,0.276879,0.0
13.399999999999974,0.972776,0.270079,0.0
